property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,south_lat,north_lat,west_lon,east_lon,geojson
flat,signature global park 4,sector 36,0.82,7586.0,3,2,2,2.0,New Property,850.0,0,0,0,0,0,0,8,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,avl 36 gurgaon,sector 36,0.75,7500.0,2,2,2,5.0,Relatively New,856.0,0,0,0,0,0,0,26,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,signature global park 4,sector 36,1.0,9901.0,3,2,3,2.0,New Property,1122.0,0,0,0,0,0,0,128,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,krisumi waterfall residences,sector 36,4.1,15501.0,3,4,3,30.0,New Property,2820.0,1,0,0,0,0,2,49,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,signature global park 4,sector 36,0.72,6660.0,3,2,3,3.0,Under Construction,978.0,0,0,0,0,0,0,0,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
house,independent,sector 36,0.66,7166.0,2,2,3,4.0,New Property,823.0,0,0,0,0,0,0,0,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,avl 36 gurgaon,sector 36,0.45,9000.0,1,1,1,9.0,Relatively New,452.0,0,0,0,0,0,0,0,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
house,independent,sector 36,0.75,6938.0,3,1,0,1.0,New Property,1081.0,0,0,0,0,0,0,0,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,avl 36 gurgaon,sector 36,0.36,9000.0,1,1,1,7.0,Relatively New,407.0,0,0,0,0,0,0,95,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
flat,signature global park 4,sector 36,0.85,11333.0,3,2,3,1.0,New Property,833.0,0,0,0,0,0,0,33,28.410702,28.4303221,76.9790143,77.0003673,"{'type': 'Polygon', 'coordinates': [[[76.9790143, 28.4190339], [76.9838638, 28.4141649], [76.9932792, 28.410702], [76.994444, 28.4129504], [76.996049, 28.4162059], [76.9974807, 28.4188039], [76.9974978, 28.4188105], [76.997764, 28.4192752], [76.9980651, 28.4198409], [76.9983796, 28.4204181], [76.9984455, 28.420532], [76.9989108, 28.4214685], [77.0003673, 28.4242183], [76.9991105, 28.4247066], [76.9978002, 28.4253474], [76.9897779, 28.4297524], [76.9887061, 28.4303221], [76.9790143, 28.4190339]]]}"
