sector,south_lat,north_lat,west_lon,east_lon,geojson
"sector 1, Gurugram, Haryana, India",28.3485815,28.3716597,76.9400968,76.9592194,"{'type': 'Polygon', 'coordinates': [[[76.9400968, 28.3601533], [76.9430168, 28.3602832], [76.9430178, 28.3563496], [76.9450411, 28.3564303], [76.9453702, 28.3516736], [76.9467722, 28.3517439], [76.9468639, 28.3485815], [76.9479303, 28.3491827], [76.948692, 28.3496209], [76.9508777, 28.3506047], [76.9509185, 28.3502756], [76.9521781, 28.3503463], [76.9521288, 28.3513216], [76.9533083, 28.3519209], [76.9567771, 28.3543183], [76.9567757, 28.3548492], [76.9592194, 28.3550367], [76.9585831, 28.3554094], [76.9582284, 28.3556912], [76.9576347, 28.3562547], [76.9573267, 28.356607], [76.9573246, 28.3565013], [76.9561191, 28.3564473], [76.9561195, 28.3569945], [76.9571494, 28.3570005], [76.9552684, 28.3585701], [76.9545178, 28.3591334], [76.9542382, 28.3594186], [76.9537915, 28.3600506], [76.9532313, 28.3605505], [76.9527433, 28.3614269], [76.9525249, 28.3622109], [76.9523877, 28.3636001], [76.9522603, 28.3643684], [76.9523001, 28.3651476], [76.9523096, 28.3655348], [76.9516565, 28.3665591], [76.9516175, 28.3671617], [76.9522659, 28.3687944], [76.9515171, 28.3693086], [76.948573, 28.3709873], [76.9471551, 28.3716597], [76.9460385, 28.3711278], [76.945236, 28.370805], [76.9445253, 28.37022], [76.9440438, 28.3695744], [76.943505, 28.3683034], [76.9426921, 28.3663127], [76.9419459, 28.3645712], [76.9400968, 28.3601533]]]}"
"sector 2, Gurugram, Haryana, India",28.5021117,28.5148941,77.0246723,77.0417925,"{'type': 'Polygon', 'coordinates': [[[77.0246723, 28.5050072], [77.028583, 28.5023417], [77.0287828, 28.5021117], [77.0299593, 28.5028198], [77.0313775, 28.5032711], [77.0317307, 28.5033219], [77.0328757, 28.5034864], [77.0337888, 28.5034954], [77.0350815, 28.5035081], [77.0358487, 28.5035567], [77.036036, 28.5035686], [77.036134, 28.5035748], [77.0362827, 28.5037144], [77.0373702, 28.5050368], [77.0380976, 28.505907], [77.0386085, 28.5065152], [77.0389255, 28.5068926], [77.0394542, 28.5074926], [77.0404125, 28.5085831], [77.0417925, 28.5101533], [77.0403999, 28.5106473], [77.0383299, 28.5122747], [77.0355656, 28.5141778], [77.03461, 28.5148941], [77.0326049, 28.5144708], [77.0269322, 28.5078503], [77.0251016, 28.5055276], [77.0246723, 28.5050072]]]}"
"sector 3, Gurugram, Haryana, India",28.4807364,28.5050072,77.0109259,77.0287828,"{'type': 'Polygon', 'coordinates': [[[77.0109259, 28.4886735], [77.0109952, 28.4885202], [77.0125245, 28.4851382], [77.0145164, 28.4807364], [77.0159596, 28.4812152], [77.0182265, 28.4847522], [77.0197414, 28.4854609], [77.0198358, 28.4884487], [77.0197736, 28.4893743], [77.0197199, 28.4904021], [77.0197086, 28.4905109], [77.0196641, 28.4909381], [77.0196937, 28.4918752], [77.0197718, 28.492776], [77.0200421, 28.4938902], [77.0203143, 28.4945172], [77.0208937, 28.4952809], [77.0215741, 28.4961561], [77.0222133, 28.4969782], [77.0224956, 28.4972934], [77.023048, 28.4979102], [77.0236939, 28.4984019], [77.0247275, 28.4990952], [77.0250318, 28.4993556], [77.0261739, 28.5002066], [77.0265895, 28.5004621], [77.0271299, 28.5008401], [77.0275848, 28.5011891], [77.0276614, 28.5012252], [77.0287828, 28.5021117], [77.028583, 28.5023417], [77.0246723, 28.5050072], [77.0181865, 28.4973408], [77.0165107, 28.4953561], [77.0146077, 28.4930791], [77.0109259, 28.4886735]]]}"
"sector 4, Gurugram, Haryana, India",28.4688345,28.4807364,77.0019787,77.0179221,"{'type': 'Polygon', 'coordinates': [[[77.0019787, 28.4764407], [77.0054286, 28.4688345], [77.0112368, 28.4710876], [77.0179221, 28.4736808], [77.0145164, 28.4807364], [77.0019787, 28.4764407]]]}"
"sector 5, Gurugram, Haryana, India",28.3647873,28.3722399,76.9194192,76.9340449,"{'type': 'Polygon', 'coordinates': [[[76.9194192, 28.3650106], [76.9339491, 28.3647873], [76.9340243, 28.3696969], [76.9340319, 28.3698896], [76.9340449, 28.3720517], [76.9195428, 28.3722399], [76.9194192, 28.3650106]]]}"
"sector 6, Gurugram, Haryana, India",28.4677037,28.4814427,77.0179221,77.0320237,"{'type': 'Polygon', 'coordinates': [[[77.0179221, 28.4736808], [77.0221822, 28.4708631], [77.0231263, 28.4702426], [77.0267023, 28.4677037], [77.0279168, 28.4702681], [77.0290733, 28.4733511], [77.0296069, 28.4743603], [77.0297814, 28.4746904], [77.0311118, 28.4766142], [77.0320237, 28.4787385], [77.030275, 28.4792926], [77.0274211, 28.4799715], [77.0252539, 28.4805751], [77.023387, 28.4814427], [77.0179221, 28.4736808]]]}"
"sector 7, Gurugram, Haryana, India",28.4570389,28.4736808,77.0054286,77.0231263,"{'type': 'Polygon', 'coordinates': [[[77.0054286, 28.4688345], [77.0108667, 28.4573918], [77.0110296, 28.4571011], [77.0126817, 28.4570424], [77.0130315, 28.457042], [77.0157669, 28.4570389], [77.0172995, 28.4588395], [77.0178518, 28.4602182], [77.0178941, 28.4603238], [77.0187962, 28.4632773], [77.0205224, 28.4664031], [77.0207435, 28.4667789], [77.0216179, 28.4691939], [77.0218517, 28.4694042], [77.0231263, 28.4702426], [77.0221822, 28.4708631], [77.0179221, 28.4736808], [77.0112368, 28.4710876], [77.0054286, 28.4688345]]]}"
"sector 8, Gurugram, Haryana, India",28.4456778,28.4667789,77.0027691,77.0264490,"{'type': 'Polygon', 'coordinates': [[[77.0027691, 28.4509323], [77.0028088, 28.4509119], [77.0047874, 28.4498314], [77.0051289, 28.4496326], [77.007101, 28.4485452], [77.0077643, 28.4482209], [77.0084704, 28.4478754], [77.0129637, 28.4456778], [77.0210127, 28.4544174], [77.0213848, 28.4548249], [77.0237025, 28.4573634], [77.0250801, 28.4581859], [77.026449, 28.4593446], [77.0226489, 28.4630057], [77.0207435, 28.4667789], [77.0205224, 28.4664031], [77.0187962, 28.4632773], [77.0178941, 28.4603238], [77.0178518, 28.4602182], [77.0172995, 28.4588395], [77.0157669, 28.4570389], [77.0149778, 28.4563842], [77.0141624, 28.4550259], [77.0132826, 28.4541959], [77.0113514, 28.4534035], [77.0102356, 28.4532148], [77.009034, 28.4530451], [77.0059556, 28.4517094], [77.0044635, 28.4513094], [77.0032404, 28.4511207], [77.0027691, 28.4509323]]]}"
"sector 9, Gurugram, Haryana, India",28.3799132,28.3871405,76.8787979,76.8934127,"{'type': 'Polygon', 'coordinates': [[[76.8787979, 28.3801257], [76.8932719, 28.3799132], [76.8934127, 28.3868253], [76.8790219, 28.3871405], [76.8788102, 28.3813718], [76.8787979, 28.3801257]]]}"
"sector 10, Gurugram, Haryana, India",28.4358808,28.4509323,76.9972285,77.0175083,"{'type': 'Polygon', 'coordinates': [[[76.9972285, 28.4483074], [76.9982421, 28.4464881], [76.9995911, 28.4440701], [77.0001506, 28.4434109], [77.0009331, 28.4425741], [77.0022039, 28.4411764], [77.0060488, 28.4383915], [77.0074539, 28.4375406], [77.009322, 28.436365], [77.0101187, 28.4358808], [77.0144701, 28.4410997], [77.0175083, 28.4439405], [77.0140637, 28.4451108], [77.0129637, 28.4456778], [77.0084704, 28.4478754], [77.0077643, 28.4482209], [77.007101, 28.4485452], [77.0051289, 28.4496326], [77.0047874, 28.4498314], [77.0028088, 28.4509119], [77.0027691, 28.4509323], [76.9991994, 28.4491782], [76.9972285, 28.4483074]]]}"
